txtNo,portId,portrank,portrank2,issueddate,highPrice,loPrice,lastPrice,frekuensi,volumeTrans,valueTrans,WAPPrice,coupon,YTMValue,MDValue
"552155","ADHI03BCN3","idA-","A","2024-08-19","99.70000","99.69000","99.70000","2","4","3.988","99.7000","9.00000","9.12350025772328","2.3711217794749304"
"552156","APIA01BCN2","idAAA","AAA","2024-08-19","100.65000","100.50000","100.65000","2","2","2.013","100.6500","8.50000","7.80577896696526","0.9347888205415089"
"552157","ASDF06BCN1","AAA(idn)","A","2024-08-19","98.25000","98.25000","98.25000","1","0.25","0.245625","98.2500","6.00000","6.9994743210387","1.748242843970922"
"552158","BBKP01CN1","AAA(idn)","A","2024-08-19","99.95000","99.94000","99.95000","2","6","5.997000000000001","99.9500","6.25000","7.044764106282219","0.05607758401373684"
"552159","BBNI01AGN","idAAA","AAA","2024-08-19","99.79000","99.78000","99.79000","2","10","9.979000000000001","99.7900","6.35000","6.6054623500904945","0.8031805127100047"
"552160","BBRI02ECN1","idAAA","AAA","2024-08-19","104.15000","104.15000","104.15000","1","2","2.083","104.1500","8.90000","6.919957606530855","2.0252177993821427"
"552161","BOLD01A","idA+","A","2024-08-19","100.22000","100.21000","100.22000","4","4","4.0088","100.2200","8.45000","7.852071770973451","0.37337555916865484"
"552162","BRPT03BCN3","IdA+","A","2024-08-19","101.16000","101.14000","101.16000","2","36","36.4176","101.1600","9.00000","8.705606681056919","3.90969419923599"
"552163","BVIC03SBCN1","idBBB","BBB","2024-08-19","103.52000","103.50000","103.52000","2","15","15.527999999999999","103.5200","10.75000","9.833559408498427","3.7583222597081143"
"552164","FIFA06BCN1","idAAA","AAA","2024-08-19","98.15000","98.15000","98.15000","1","3.8","3.7297000000000002","98.1500","6.00000","7.050173845842228","1.7613189363464508"
"552165","FR0042","-","-","2024-08-19","109.45000","109.44000","109.45000","2","18","19.701","109.4500","10.25000","6.615984363102398","2.4973762002536337"
"552166","FR0045","-","-","2024-08-19","125.65000","125.55000","125.55000","5","0.014","0.017577","125.5500","9.75000","6.729360011566965","7.718668021719543"
